url,label
asesoresvelfit.com/media/datacredito.co/,bad
caixa.com.br.fgtsagendesaqueconta.com/consulta8523211/principal.php,bad
hissoulreason.com/js/homepage/home/,bad
unauthorizd.newebpage.com/webapps/66fbf/,bad
133.130.103.10/23/,bad
dj00.co.vu/css/,bad
133.130.103.10/21/logar/,bad
httpssicredi.esy.es/servico/sicredi/validarclientes/mobi/index.php,bad
gamesaty.ga/wp-content///yh/en/,bad
luxuryupgradepro.com/ymailNew/ymailNew/,bad
133.130.103.10/1/,bad
133.130.103.10/24/sicredi/psmlId/31/paneid/index.htm,bad
smscaixaacesso.hol.es,bad
133.130.103.10/7/SIIBC/siwinCtrl.php,bad
tinyurl.com/kjmmw57,bad
wrightlandscapes.org/no/T/Y1.html,bad
mautic.eto-cms.ru/themes/goldstar/mtbonline/newmandt/,bad
ginatringali.com//al/alibaba21012015/alibaba21012015/666/index.html,bad
staticmail.000webhostapp.com/,bad
umeda.com.br/bba/BOA/home/,bad
krishworldwide.com/BackUp/under/js/ayo1/index.html,bad
yahoo.co.in/email_open_log_pic.php,bad
www.avcc.ac.in/fonts/1/wropboxp/login.html,bad
craig-hallum.ga/sgg/1/login.htm,bad
www.verification-mobile-nab.com/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,bad
verification-mobile-nab.com/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,bad
www.justpiddlinboutique.com/win/image.htm,bad
vcsolutionscorp.com/Block/image.htm,bad
almasur.com/wp-includes/pomo/docusign17/,bad
asesoresvelfit.com/media/cms/datacredito.co/,bad
getpeopleplus.com/EserviceMain/irs/ir/index.html,bad
taeamigo.com/EserviceMain/irs/ir/index.html,bad
elmundo-latino.com/ir/index.html,bad
sociopremiosedescontos.com/cadastro/,bad
cartaopremiadosicoob.com,bad
ms-0ffice365supportplanquota.us.com0203499083934.elegantvapour.co.uk/0-009021--0203499083934.l3992389100283901233232400349902132443940090132/hotmail.login/client_id=00000002-0000-0ff1-ce00-000000000000&amp,bad
www.travrica.com/ntime/T/Y1.html,bad
system-tnc.esy.es/recovery-chekpoint-login.html,bad
sandralucashyde.org/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html,bad
alexanderpetricek.com/EserviceMain/irs/ir/index.html,bad
di15.co.vu/css/,bad
sicredisms.ignitiondomain.com/2017/validarclientes/mobi/index.php,bad
rajspaces.com/EserviceDLAcct/irs/ir/index.html,bad
fb-systemapps.esy.es/recovery-chekpoint-login.html,bad
signin-activitysupport.helpcenter-supportfraudsignin.com/mpp/signin/f341/,bad
www.citadelchurchjax.com/wp-admin/validateowa/owa/WebAdmin/Outlook%20Web%20App.htm,bad
pradochaui.com.br/criptografado1/index1.php,bad
simnokomun.lt/upload/omo/newgd2/newgd/moole/index.php,bad
di11.co.vu/css/,bad
www.alligator.site/wp-content/wall/gallary/fin/,bad
tinyurl.com/le5tcvf,bad
